model,positive_class,primary_predictor,n_total,n_diverging,n_high_agreement,overall_auroc,raw_gap_auroc_sanity_check,auroc_complement_error,mean_abs_gap_diverging,median_abs_gap_diverging,mean_abs_gap_high_agreement,median_abs_gap_high_agreement,mean_gap_difference_diverging_minus_high,interpretation_direction
Skywork-Reward-Llama-3.1-8B-v0.2,diverging_id_label == 1,-abs(score_a - score_b),400,200,200,0.60221250000000004,0.39778749999999996,0,7.4168740844726564,4.9921875,10.618450927734376,8.1064453125,-3.2015768432617193,smaller reward gaps rank diverging examples higher
FsfairX-LLaMA3-RM-v0.1,diverging_id_label == 1,-abs(score_a - score_b),400,200,200,0.63037500000000002,0.36962499999999998,0,2.4295935058593749,1.8125,3.5657382202148438,2.87890625,-1.1361447143554688,smaller reward gaps rank diverging examples higher
