scope,skywork_observed_auroc,fsfairx_observed_auroc,observed_fsfairx_minus_skywork,bootstrap_mean_difference,bootstrap_se_difference,ci_level,ci_method,ci_lower,ci_upper,ci_contains_zero,bootstrap_probability_fsfairx_higher,bootstrap_probability_skywork_higher,bootstrap_probability_equal,ci_based_conclusion,n_bootstrap,multiple_comparison_adjusted
Overall,0.60221250000000004,0.63037500000000002,0.028162499999999979,0.02758716874999996,0.023631188080314346,0.94999999999999996,paired stratified percentile bootstrap,-0.0174406249999998,0.074900312499999802,True,0.87949999999999995,0.1205,0,difference inconclusive,2000,False
Open QA,0.73687499999999995,0.75875000000000004,0.021875000000000089,0.020453749999999989,0.045219365521481279,0.94999999999999996,paired stratified percentile bootstrap,-0.071570312499999886,0.10500781249999985,True,0.67400000000000004,0.32300000000000001,0.0030000000000000001,difference inconclusive,2000,False
Generation,0.56000000000000005,0.56408163265306122,0.0040816326530611624,0.0051057142857142924,0.064700287499696432,0.94999999999999996,paired stratified percentile bootstrap,-0.11675510204081636,0.13470408163265302,True,0.53249999999999997,0.46550000000000002,0.002,difference inconclusive,2000,False
Coding,0.53714285714285714,0.66857142857142837,0.13142857142857123,0.13139510204081628,0.06198416343013715,0.94999999999999996,paired stratified percentile bootstrap,0.015908163265305968,0.26123469387755088,False,0.99299999999999999,0.0070000000000000001,0,FsfairX higher,2000,False
Chat,0.53714285714285714,0.55591836734693867,0.018775510204081525,0.017684081632653031,0.073471787695939303,0.94999999999999996,paired stratified percentile bootstrap,-0.12327551020408163,0.15921428571428559,True,0.59850000000000003,0.39900000000000002,0.0025000000000000001,difference inconclusive,2000,False
Brainstorm,0.64816326530612234,0.70489795918367337,0.056734693877551035,0.056068775510204061,0.056350870131270624,0.94999999999999996,paired stratified percentile bootstrap,-0.053102040816326336,0.1632653061224488,True,0.83550000000000002,0.16250000000000001,0.002,difference inconclusive,2000,False
Closed QA,0.57999999999999985,0.42249999999999999,-0.15749999999999986,-0.15887124999999994,0.07697039215875176,0.94999999999999996,paired stratified percentile bootstrap,-0.30249999999999999,-0.0050000000000000972,False,0.0195,0.97950000000000004,0.001,Skywork higher,2000,False
