scope_type,scope_value,model,model_short_name,threshold_role,reference_quantile,threshold_gap,n_diverging_in_scope,n_high_gap_diverging,operational_overconfident_disagreement_rate,wilson_95_ci_lower_fixed_threshold,wilson_95_ci_upper_fixed_threshold,n_strict_majority_in_scope,n_high_gap_strict_majority,n_high_gap_and_majority_correct,n_high_gap_and_majority_wrong,wrong_fraction_among_high_gap_strict_majority,rate_definition,threshold_uncertainty_in_ci,exploratory
overall,All diverging,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q90,0.90000000000000002,24.723730468749999,200,8,0.040000000000000001,0.020405632066152302,0.076932068200932943,144,6,5,1,0.16666666666666666,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with strict majority,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q90,0.90000000000000002,24.723730468749999,144,6,0.041666666666666664,0.019233886662494148,0.08791778071862287,144,6,5,1,0.16666666666666666,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with no strict majority,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q90,0.90000000000000002,24.723730468749999,56,2,0.035714285714285712,0.0098494251482363904,0.12118780180490107,0,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Open QA,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q90,0.90000000000000002,24.723730468749999,40,1,0.025000000000000001,0.0044268315026814095,0.12881368963474091,31,1,1,0,0,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Generation,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q90,0.90000000000000002,24.723730468749999,35,0,0,6.9388939039072284e-18,0.098900992324404025,26,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Coding,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q90,0.90000000000000002,24.723730468749999,35,3,0.085714285714285715,0.029582368266969819,0.22379273965896496,22,2,2,0,0,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Chat,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q90,0.90000000000000002,24.723730468749999,35,0,0,6.9388939039072284e-18,0.098900992324404025,26,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Brainstorm,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q90,0.90000000000000002,24.723730468749999,35,2,0.057142857142857141,0.015813161857108654,0.18607057420164921,25,2,2,0,0,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Closed QA,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q90,0.90000000000000002,24.723730468749999,20,2,0.10000000000000001,0.027866481213768224,0.3010336452284873,14,1,0,1,1,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
overall,All diverging,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q50,0.5,2.87890625,200,66,0.33000000000000002,0.26857425870603957,0.39783315226223115,144,45,37,8,0.17777777777777778,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
